"variable","year","value","units","source"
"CO2_concentration",1814,283.14218,"ppmv CO2","cmip7"
"CO2_concentration",1815,283.20233,"ppmv CO2","cmip7"
"CO2_concentration",1816,283.26273,"ppmv CO2","cmip7"
"CO2_concentration",1817,283.31293,"ppmv CO2","cmip7"
"CO2_concentration",1818,283.37292,"ppmv CO2","cmip7"
"CO2_concentration",1819,283.43295,"ppmv CO2","cmip7"
"CO2_concentration",1820,283.48303,"ppmv CO2","cmip7"
"CO2_concentration",1821,283.5331,"ppmv CO2","cmip7"
"CO2_concentration",1822,283.5733,"ppmv CO2","cmip7"
"CO2_concentration",1823,283.6036,"ppmv CO2","cmip7"
"CO2_concentration",1824,283.6238,"ppmv CO2","cmip7"
"CO2_concentration",1825,283.64404,"ppmv CO2","cmip7"
"CO2_concentration",1826,283.65408,"ppmv CO2","cmip7"
"CO2_concentration",1827,283.66455,"ppmv CO2","cmip7"
"CO2_concentration",1828,283.65463,"ppmv CO2","cmip7"
"CO2_concentration",1829,283.6446,"ppmv CO2","cmip7"
"CO2_concentration",1830,283.6363,"ppmv CO2","cmip7"
"CO2_concentration",1831,283.60583,"ppmv CO2","cmip7"
"CO2_concentration",1832,283.58588,"ppmv CO2","cmip7"
"CO2_concentration",1833,283.55606,"ppmv CO2","cmip7"
"CO2_concentration",1834,283.52625,"ppmv CO2","cmip7"
"CO2_concentration",1835,283.49646,"ppmv CO2","cmip7"
"CO2_concentration",1836,283.4679,"ppmv CO2","cmip7"
"CO2_concentration",1837,283.4379,"ppmv CO2","cmip7"
"CO2_concentration",1838,283.41824,"ppmv CO2","cmip7"
"CO2_concentration",1839,283.39862,"ppmv CO2","cmip7"
"CO2_concentration",1840,283.39935,"ppmv CO2","cmip7"
"CO2_concentration",1841,283.41974,"ppmv CO2","cmip7"
"CO2_concentration",1842,283.45044,"ppmv CO2","cmip7"
"CO2_concentration",1843,283.50076,"ppmv CO2","cmip7"
"CO2_concentration",1844,283.57162,"ppmv CO2","cmip7"
"CO2_concentration",1845,283.67303,"ppmv CO2","cmip7"
"CO2_concentration",1846,283.7834,"ppmv CO2","cmip7"
"CO2_concentration",1847,283.90488,"ppmv CO2","cmip7"
"CO2_concentration",1848,284.03497,"ppmv CO2","cmip7"
"CO2_concentration",1849,284.16592,"ppmv CO2","cmip7"
"CO2_concentration",1850,284.29727,"ppmv CO2","cmip7"
"CO2_concentration",1851,284.4198,"ppmv CO2","cmip7"
"CO2_concentration",1852,284.553,"ppmv CO2","cmip7"
"CO2_concentration",1853,284.67633,"ppmv CO2","cmip7"
"CO2_concentration",1854,284.80246,"ppmv CO2","cmip7"
"CO2_concentration",1855,284.91525,"ppmv CO2","cmip7"
"CO2_concentration",1856,285.0393,"ppmv CO2","cmip7"
"CO2_concentration",1857,285.1519,"ppmv CO2","cmip7"
"CO2_concentration",1858,285.27463,"ppmv CO2","cmip7"
"CO2_concentration",1859,285.39856,"ppmv CO2","cmip7"
"CO2_concentration",1860,285.52863,"ppmv CO2","cmip7"
"CO2_concentration",1861,285.6675,"ppmv CO2","cmip7"
"CO2_concentration",1862,285.8053,"ppmv CO2","cmip7"
"CO2_concentration",1863,285.94473,"ppmv CO2","cmip7"
"CO2_concentration",1864,286.0948,"ppmv CO2","cmip7"
"CO2_concentration",1865,286.25443,"ppmv CO2","cmip7"
"CO2_concentration",1866,286.4129,"ppmv CO2","cmip7"
"CO2_concentration",1867,286.58334,"ppmv CO2","cmip7"
"CO2_concentration",1868,286.76178,"ppmv CO2","cmip7"
"CO2_concentration",1869,286.94193,"ppmv CO2","cmip7"
"CO2_concentration",1870,287.1202,"ppmv CO2","cmip7"
"CO2_concentration",1871,287.31073,"ppmv CO2","cmip7"
"CO2_concentration",1872,287.49402,"ppmv CO2","cmip7"
"CO2_concentration",1873,287.6851,"ppmv CO2","cmip7"
"CO2_concentration",1874,287.85782,"ppmv CO2","cmip7"
"CO2_concentration",1875,288.04044,"ppmv CO2","cmip7"
"CO2_concentration",1876,288.22864,"ppmv CO2","cmip7"
